xuoi,nguoc,mode,h,model,n_xuoi,n_nguoc,L_p50_xuoi,L_p50_nguoc,rank_biserial,p,p_holm,co_y_nghia,ket_luan,huong_khop_trung_vi
E1a->E1g,E1g->E1a,N0,1,lr,73,368,0.9858361643265819,1.005181737643607,-0.25744490768314476,0.0005093080472901721,0.004074464378321377,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,1,ridge,73,368,0.9839485408394866,1.0079013482080985,-0.3258636092912448,1.0841058868303344e-05,0.00013454728377680395,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,1,rf,73,368,1.0924789245156412,1.47957624723792,-0.7037671232876712,2.0478275551983925e-21,5.3243516435158204e-20,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,1,xgb,73,368,1.047120209236113,1.542726320036539,-0.7759827278141751,1.0936822334837452e-25,3.718519593844734e-24,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,1,svr,73,368,1.089554690477235,1.1245278489956585,-0.15597081596188211,0.0352396787827169,0.0704793575654338,False,không khác,True
E1a->E1g,E1g->E1a,N0,6,lr,73,368,0.9989067091113148,0.9934476220139515,0.1797200714711138,0.015254367034261912,0.06101746813704765,False,không khác,True
E1a->E1g,E1g->E1a,N0,6,ridge,73,368,0.998906815881399,0.9934478207843526,0.1797200714711138,0.015254367034261912,0.06101746813704765,False,không khác,True
E1a->E1g,E1g->E1a,N0,6,rf,73,368,1.0650239829978423,2.241426800850498,-0.803082191780822,2.1381389562837667e-27,7.911114138249937e-26,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,6,xgb,73,368,1.0438446304365627,2.1349562067200436,-0.8786480047647409,1.82050716715552e-32,8.01023153548429e-31,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,6,svr,73,368,1.034111255158758,1.1208031636277116,-0.27427039904705186,0.0002130568138100143,0.0019175113242901286,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,12,lr,73,368,1.0071513678598372,0.9396227127498104,0.7668999404407386,3.9695235798938224e-25,1.3099427813649614e-23,True,xuôi tốn hơn,True
E1a->E1g,E1g->E1a,N0,12,ridge,73,368,1.007151270686253,0.9396226553525979,0.7668999404407386,3.9695235798938224e-25,1.3099427813649614e-23,True,xuôi tốn hơn,True
E1a->E1g,E1g->E1a,N0,12,rf,73,368,1.0530856582267243,2.25858820446879,-0.8481238832638476,2.3021996666759398e-30,8.978578700036165e-29,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,12,xgb,73,368,1.0130403166393147,2.211200993016752,-0.9175848719475879,2.9686949379869114e-35,1.3359127220941102e-33,True,ngược tốn hơn,True
E1a->E1g,E1g->E1a,N0,12,svr,73,368,0.9951527856769308,1.1623986774841781,-0.6302858844550328,1.7342795935364067e-17,3.6419871464264543e-16,True,ngược tốn hơn,True
