env,h,model,so_sanh,n_chuoi,hieu_p50,p,p_holm,co_y_nghia,ket_luan
E1,1,lr,N1_vs_N0,735,-0.0672314845636708,0.030009406950054253,0.15004703475027126,False,không khác
E1,1,lr,N2_vs_N0,735,-0.034160620110218975,2.937670949624372e-94,2.643903854661935e-93,True,Nk tốt hơn N0
E1,1,rf,N1_vs_N0,735,-0.010875501557671793,0.1059133500473645,0.3177400501420935,False,không khác
E1,1,rf,N2_vs_N0,735,0.012188852022029295,0.11981913560515908,0.3177400501420935,False,không khác
E1,1,ridge,N1_vs_N0,735,-0.0671309715989587,0.030233797293461855,0.15004703475027126,False,không khác
E1,1,ridge,N2_vs_N0,735,-0.03431573712281211,1.0447595924007947e-94,1.0447595924007946e-93,True,Nk tốt hơn N0
E1,1,svr,N1_vs_N0,735,0.010856955389652034,5.829251494010878e-24,4.0804760458076146e-23,True,Nk tệ hơn N0
E1,1,svr,N2_vs_N0,735,-0.013184469136891502,5.917583210382861e-35,4.734066568306289e-34,True,Nk tốt hơn N0
E1,1,xgb,N1_vs_N0,735,-0.010843203027317103,0.1513341814630521,0.3177400501420935,False,không khác
E1,1,xgb,N2_vs_N0,735,0.003768178606413,0.010773865497338473,0.06464319298403085,False,không khác
E1,6,lr,N1_vs_N0,735,-0.3780889402431207,2.1262487578617398e-07,1.0631243789308699e-06,True,Nk tốt hơn N0
E1,6,lr,N2_vs_N0,735,-0.26654896426091906,1.1659680205201957e-105,1.1659680205201957e-104,True,Nk tốt hơn N0
E1,6,rf,N1_vs_N0,735,-0.0472591230962085,7.048388627367673e-11,4.933872039157371e-10,True,Nk tốt hơn N0
E1,6,rf,N2_vs_N0,735,0.015502878147967303,0.011395700328867346,0.022791400657734693,True,Nk tệ hơn N0
E1,6,ridge,N1_vs_N0,735,-0.378089049511213,2.1262487578617398e-07,1.0631243789308699e-06,True,Nk tốt hơn N0
E1,6,ridge,N2_vs_N0,735,-0.26654905578816346,1.1659680205201957e-105,1.1659680205201957e-104,True,Nk tốt hơn N0
E1,6,svr,N1_vs_N0,735,0.004945434745042804,3.343954518706389e-15,2.6751636149651112e-14,True,Nk tệ hơn N0
E1,6,svr,N2_vs_N0,735,-0.004982437319680608,8.697097168260812e-10,5.2182583009564876e-09,True,Nk tốt hơn N0
E1,6,xgb,N1_vs_N0,735,-0.06764914299261421,0.0009638067010628001,0.0028914201031884005,True,Nk tốt hơn N0
E1,6,xgb,N2_vs_N0,735,0.01620784637293121,0.15761854810665732,0.15761854810665732,False,không khác
E1,12,lr,N1_vs_N0,735,-0.526690780198229,3.795696370052635e-11,3.036557096042108e-10,True,Nk tốt hơn N0
E1,12,lr,N2_vs_N0,735,-0.3950457911429439,2.2972515320917126e-104,2.2972515320917127e-103,True,Nk tốt hơn N0
E1,12,rf,N1_vs_N0,735,-0.058044115380782906,7.3469534567081025e-06,2.5100748091446283e-05,True,Nk tốt hơn N0
E1,12,rf,N2_vs_N0,735,-0.027778621115858604,0.024813390164891157,0.024813390164891157,True,Nk tốt hơn N0
E1,12,ridge,N1_vs_N0,735,-0.5266908130542934,3.795696370052635e-11,3.036557096042108e-10,True,Nk tốt hơn N0
E1,12,ridge,N2_vs_N0,735,-0.3950458261224718,2.2972515320917126e-104,2.2972515320917127e-103,True,Nk tốt hơn N0
E1,12,svr,N1_vs_N0,735,-0.0079581927352321,0.0009007749683808398,0.0018015499367616797,True,Nk tốt hơn N0
E1,12,svr,N2_vs_N0,735,-0.008255066076440803,4.6555734445996977e-10,2.7933440667598185e-09,True,Nk tốt hơn N0
E1,12,xgb,N1_vs_N0,735,-0.10444067937461168,6.275187022861571e-06,2.5100748091446283e-05,True,Nk tốt hơn N0
E1,12,xgb,N2_vs_N0,735,0.05841645739547896,4.9373438840536835e-09,2.4686719420268418e-08,True,Nk tệ hơn N0
E2,1,lr,N1_vs_N0,302,-0.08362111332857317,0.2874746680219502,1.0,False,không khác
E2,1,lr,N2_vs_N0,302,-0.055581542724310096,5.325139690216423e-34,5.325139690216423e-33,True,Nk tốt hơn N0
E2,1,rf,N1_vs_N0,302,-0.012738148359828248,0.7562224829493409,1.0,False,không khác
E2,1,rf,N2_vs_N0,302,0.0344039141430781,4.4076948397585145e-10,3.08538638783096e-09,True,Nk tệ hơn N0
E2,1,ridge,N1_vs_N0,302,-0.0836211120937367,0.2874746680219502,1.0,False,không khác
E2,1,ridge,N2_vs_N0,302,-0.05558159037310875,5.325139690216423e-34,5.325139690216423e-33,True,Nk tốt hơn N0
E2,1,svr,N1_vs_N0,302,0.019319743738369338,2.3331962366643876e-16,1.86655698933151e-15,True,Nk tệ hơn N0
E2,1,svr,N2_vs_N0,302,-0.004936672885223203,6.946899512743844e-07,4.1681397076463066e-06,True,Nk tốt hơn N0
E2,1,xgb,N1_vs_N0,302,-0.014649269658924685,0.7234131834950344,1.0,False,không khác
E2,1,xgb,N2_vs_N0,302,0.01482362341088126,7.33385729278212e-07,4.1681397076463066e-06,True,Nk tệ hơn N0
E2,6,lr,N1_vs_N0,302,-0.4464809206572008,1.0474660568419923e-05,5.018993724970486e-05,True,Nk tốt hơn N0
E2,6,lr,N2_vs_N0,302,-0.31231639965345304,3.1520547024676095e-47,3.1520547024676094e-46,True,Nk tốt hơn N0
E2,6,rf,N1_vs_N0,302,-0.05612005729650871,5.552110084315676e-10,4.441688067452541e-09,True,Nk tốt hơn N0
E2,6,rf,N2_vs_N0,302,0.050662541843773876,8.204712742564277e-05,0.00016409425485128555,True,Nk tệ hơn N0
E2,6,ridge,N1_vs_N0,302,-0.4464809773294057,1.0474660568419923e-05,5.018993724970486e-05,True,Nk tốt hơn N0
E2,6,ridge,N2_vs_N0,302,-0.3123165354185672,3.1520547024676095e-47,3.1520547024676094e-46,True,Nk tốt hơn N0
E2,6,svr,N1_vs_N0,302,0.0073048447742267986,1.0037987449940971e-05,5.018993724970486e-05,True,Nk tệ hơn N0
E2,6,svr,N2_vs_N0,302,1.1376165636095559e-05,0.47559933150875033,0.47559933150875033,False,không khác
E2,6,xgb,N1_vs_N0,302,-0.06256349579179749,5.645819788490488e-10,4.441688067452541e-09,True,Nk tốt hơn N0
E2,6,xgb,N2_vs_N0,302,0.06915505958610076,6.923646165449809e-06,4.1541876992698854e-05,True,Nk tệ hơn N0
E2,12,lr,N1_vs_N0,302,-0.6922171423202386,2.9009286607376024e-13,1.7405571964425616e-12,True,Nk tốt hơn N0
E2,12,lr,N2_vs_N0,302,-0.39290283867635317,1.7690769974160538e-37,1.7690769974160537e-36,True,Nk tốt hơn N0
E2,12,rf,N1_vs_N0,302,-0.08603754172224462,3.3819208509941036e-19,2.705536680795283e-18,True,Nk tốt hơn N0
E2,12,rf,N2_vs_N0,302,0.04840825590948038,0.10063751798679904,0.3019125539603971,False,không khác
E2,12,ridge,N1_vs_N0,302,-0.6922173375547733,2.9009286607376024e-13,1.7405571964425616e-12,True,Nk tốt hơn N0
E2,12,ridge,N2_vs_N0,302,-0.3929031895324233,1.7690769974160538e-37,1.7690769974160537e-36,True,Nk tốt hơn N0
E2,12,svr,N1_vs_N0,302,-0.004961559264667653,0.18668091011110877,0.37336182022221753,False,không khác
E2,12,svr,N2_vs_N0,302,0.0006872935633989025,0.408810817518373,0.408810817518373,False,không khác
E2,12,xgb,N1_vs_N0,302,-0.09541840967579115,5.150150373606563e-18,3.605105261524594e-17,True,Nk tốt hơn N0
E2,12,xgb,N2_vs_N0,302,0.07866776690336208,0.0013856784419121406,0.005542713767648562,True,Nk tệ hơn N0
